"Example","Chapter","Book Section","Output Type","Book Value","Package Value","Difference","Status","Diagnosis","Action Taken"
"Exam9.1",9,"9.4.1","trt(set) p","0.0089","0.008898","2e-06","EXACT","Matches printed nested-treatment fixed-effect test.","Extracted Kenward-Roger ANOVA from lmerTest."
"Exam9.1",9,"9.4.1","trt simple-effect slice set 0 F","0.03","0.03","0","EXACT","Package labels sets/trt one unit higher than the book; numerical slice test matches after label mapping.","Computed explicit joint emmeans contrasts within each set."
"Exam9.1",9,"9.4.1","trt simple-effect slice set 0 p","0.9709","0.970919","1.9e-05","EXACT","Package labels sets/trt one unit higher than the book; numerical slice test matches after label mapping.","Computed explicit joint emmeans contrasts within each set."
"Exam9.1",9,"9.4.1","trt simple-effect slice set 1 F","9.8","9.797","0.003","EXACT","Package labels sets/trt one unit higher than the book; numerical slice test matches after label mapping.","Computed explicit joint emmeans contrasts within each set."
"Exam9.1",9,"9.4.1","trt simple-effect slice set 1 p","0.0017","0.001667","3.3e-05","EXACT","Package labels sets/trt one unit higher than the book; numerical slice test matches after label mapping.","Computed explicit joint emmeans contrasts within each set."
"Exam9.1",9,"9.4.1","set 0 trt 0 LSMean","8.2","8.2","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt 0 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt 1 LSMean","8.9","8.9","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt 1 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt 2 LSMean","8.74","8.74","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt 2 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 3 LSMean","4.44","4.44","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 3 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 4 LSMean","7.28","7.28","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 4 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 5 LSMean","17.16","17.16","0","EXACT","Package labels sets/trt one unit higher than the book; LSMean matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 1 trt 5 LSMean SE","4.0817","4.08167","3e-05","EXACT","Package labels sets/trt one unit higher than the book; LSMean SE matches after label mapping.","Extracted emmeans::emmeans(fit, ~ trt | set)."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt1 diff","-0.7","-0.7","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt1 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt1 diff p","0.8194","0.819445","4.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt2 diff","-0.54","-0.54","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt2 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt0 - trt2 diff p","0.8602","0.86018","2e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt1 - trt2 diff","0.16","0.16","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt1 - trt2 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 0 trt1 - trt2 diff p","0.9584","0.958358","4.2e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt4 diff","-2.84","-2.84","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt4 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt4 diff p","0.3605","0.360479","2.1e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt5 diff","-12.72","-12.72","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt5 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt3 - trt5 diff p","7e-04","0.000655","4.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt4 - trt5 diff","-9.88","-9.88","0","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt4 - trt5 diff SE","3.0167","3.016665","3.5e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast SE matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.1",9,"9.4.1","set 1 trt4 - trt5 diff p","0.0048","0.004762","3.8e-05","EXACT","Package labels sets/trt one unit higher than the book; pairwise contrast p-value matches after label mapping.","Extracted pairwise emmeans contrasts within set."
"Exam9.2",9,"9.4.1","Intercept Block VC","2.6345","2.635049","0.000549","EXACT","Matches printed incomplete strip-plot covariance parameter estimate within R/SAS rounding.","Fitted lmerTest::lmer with block, block:a, and block:b random intercepts."
"Exam9.2",9,"9.4.1","a Block VC","9.7784","9.778637","0.000237","EXACT","Matches printed incomplete strip-plot covariance parameter estimate within R/SAS rounding.","Fitted lmerTest::lmer with block, block:a, and block:b random intercepts."
"Exam9.2",9,"9.4.1","b Block VC","8.1609","8.160536","0.000364","EXACT","Matches printed incomplete strip-plot covariance parameter estimate within R/SAS rounding.","Fitted lmerTest::lmer with block, block:a, and block:b random intercepts."
"Exam9.2",9,"9.4.1","Residual variance","2.2451","2.245048","5.2e-05","EXACT","Matches printed incomplete strip-plot covariance parameter estimate within R/SAS rounding.","Fitted lmerTest::lmer with block, block:a, and block:b random intercepts."
"Exam9.2",9,"9.4.1","a F","6.59","6.617257","0.027257","APPROX","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","a p","0.0184","0.017504","0.000896","EXACT","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","b F","2.31","2.324043","0.014043","APPROX","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","b p","0.1589","0.156808","0.002092","EXACT","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","a:b F","10.56","10.547449","0.012551","APPROX","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","a:b p","0.007","0.007533","0.000533","EXACT","Kenward-Roger implementation differs slightly between lmerTest and SAS GLIMMIX; retained exact/approx classification by tolerance.","Fitted lmerTest::lmer and extracted Kenward-Roger ANOVA."
"Exam9.2",9,"9.4.1","a1 b1 LSMean","21.2455","21.245545","4.5e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b1 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b2 LSMean","30.4307","30.430755","5.5e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b2 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b3 LSMean","28.1994","28.199342","5.8e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b3 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b1 LSMean","22.2115","22.211531","3.1e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b1 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b2 LSMean","28.4077","28.407723","2.3e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b2 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b3 LSMean","26.9061","26.906067","3.3e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a2 b3 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b1 LSMean","21.1293","21.129339","3.9e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b1 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b2 LSMean","18.4717","18.471693","7e-06","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b2 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b3 LSMean","18.5231","18.523004","9.6e-05","EXACT","Matches printed incomplete strip-plot LSMean.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a3 b3 LSMean SE","2.1866","2.182805","0.003795","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted emmeans::emmeans(fit, ~ a * b)."
"Exam9.2",9,"9.4.1","a1 b1 - b2 diff","-9.1852","-9.18521","1e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b1 - b2 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b1 - b2 diff p","0.0019","0.001737","0.000163","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b1 - b3 diff","-6.9539","-6.953797","0.000103","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b1 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b1 - b3 diff p","0.0112","0.010758","0.000442","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b2 - b3 diff","2.2313","2.231413","0.000113","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b2 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a1 b2 - b3 diff p","0.3585","0.35684","0.00166","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b2 diff","-6.1962","-6.196191","9e-06","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b2 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b2 diff p","0.0206","0.019983","0.000617","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b3 diff","-4.6946","-4.694536","6.4e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b1 - b3 diff p","0.067","0.065767","0.001233","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b2 - b3 diff","1.5016","1.501655","5.5e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b2 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a2 b2 - b3 diff p","0.5328","0.531437","0.001363","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b2 diff","2.6577","2.657646","5.4e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b2 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b2 diff p","0.2775","0.27576","0.00174","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b3 diff","2.6063","2.606335","3.5e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b1 - b3 diff p","0.2865","0.284713","0.001787","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b2 - b3 diff","-0.05138","-0.051311","6.9e-05","EXACT","Matches printed incomplete strip-plot simple-effect comparison.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b2 - b3 diff SE","2.3411","2.335117","0.005983","EXACT","Small SE difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.2",9,"9.4.1","a3 b2 - b3 diff p","0.9828","0.982805","5e-06","EXACT","Small p-value difference is attributable to lmerTest/SAS Kenward-Roger implementation details.","Extracted pairwise emmeans contrasts for b within a."
"Exam9.3",9,"9.4.1","Step 1 a F","19.14","19.137392","0.002608","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a p","9e-04","0.000905","5e-06","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*a F","10.33","10.327207","0.002793","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*a p","0.0488","0.048822","2.2e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b F","21.45","21.445759","0.004241","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b p","6e-04","0.000579","2.1e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*b F","0.76","0.756899","0.003101","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*b p","0.4014","0.401369","3.1e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b*b F","16.81","16.808401","0.001599","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b*b p","0.0263","0.026254","4.6e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 c F","2.01","2.011681","0.001681","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 c p","0.1815","0.181537","3.7e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*c F","1.03","1.030223","0.000223","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 a*c p","0.3301","0.330135","3.5e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b*c F","5.05","5.051248","0.001248","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 b*c p","0.0442","0.044196","4e-06","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 c*c F","0.7","0.698359","0.001641","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 c*c p","0.4647","0.464663","3.7e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 aa*bb*cc F","0.22","0.224461","0.004461","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 1 aa*bb*cc p","0.8776","0.877562","3.8e-05","EXACT","Matches printed Type I lack-of-fit sequence after using explicit transformed terms to preserve SAS effect order.","Fitted lmerTest model with explicit a2, b2, c2, ab, ac, and bc columns."
"Exam9.3",9,"9.4.1","Step 2 a F","22.65","22.650691","0.000691","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a p","3e-04","0.000253","4.7e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*a F","10.33","10.327207","0.002793","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*a p","0.0488","0.048822","2.2e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b F","25.38","25.382834","0.002834","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b p","1e-04","0.000147","4.7e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*b F","0.9","0.895853","0.004147","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*b p","0.3589","0.358895","5e-06","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b*b F","16.81","16.808401","0.001599","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b*b p","0.0263","0.026254","4.6e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 c F","2.38","2.380991","0.000991","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 c p","0.1437","0.143651","4.9e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*c F","1.22","1.219355","0.000645","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 a*c p","0.2869","0.286887","1.3e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b*c F","5.98","5.978571","0.001429","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 b*c p","0.0273","0.027302","2e-06","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 c*c F","0.7","0.698359","0.001641","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 2 c*c p","0.4647","0.464663","3.7e-05","EXACT","Matches printed Type I full response-surface sequence after dropping lack of fit.","Fitted lmerTest reduced model with explicit transformed terms."
"Exam9.3",9,"9.4.1","Step 3 block VC","0.6776","0.677572","2.8e-05","EXACT","Matches printed reduced response-surface covariance parameter estimate.","Fitted lmerTest reduced response-surface model."
